Source,ID,Title,Publication_type,Journal,Year_publication,Doi,Geography,Higher_geography,H_5,Year_study,Species_name,Genus,Species,Subspecies,Family,weight_bat_reported,weight_bat_mean,weight_bat_min,weight_bat_max,Type_device,Device_type_category,kind_device,VHF,device_weight_reported,weight_device,weight_device_min,weight_device_max,device_over5,device_%,device_%_min,device_%_max,Contact_authors,Authors_reply,Assignment,Validation
Omara_et_al_2014,Other_Omara_005,Reproductive and age classes do not change spatial dynamics of foraging long-fingered bats (Myotis capaccinii),Research,European Journal of Wildlife Research,2011,https://doi.org/10.1007/s10344-011-0507-0,Spain,Palearctic,Yes,2004,Myotis capaccinii,Myotis,capaccinii,NA,Vespertilionidae,Provided by author(s),10,8,12,VHF transmitter,VHF transmitter,PIP II radiotransmitter,Yes,Yes,0.45,0.45,0.45,No,<5,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_005,Reproductive and age classes do not change spatial dynamics of foraging long-fingered bats (Myotis capaccinii),Research,European Journal of Wildlife Research,2011,https://doi.org/10.1007/s10344-011-0507-0,Spain,Palearctic,Yes,2004,Myotis capaccinii,Myotis,capaccinii,NA,Vespertilionidae,Provided by author(s),9,8,12,VHF transmitter,VHF transmitter,PIP II radiotransmitter,Yes,Yes,0.45,0.45,0.45,No,<5,NA,NA,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_006,"Habitat selection and spatial use by the trawling bat Myotis capaccinii (Bonaparte, 1837)",Research,Acta Chiropterologica,2006,https://doi.org/10.3161/1733-5329(2006)8[157:HSASUB]2.0.CO;2,Spain,Palearctic,Yes,2004,Myotis capaccinii,Myotis,capaccinii,NA,Vespertilionidae,Yes,10,8,10,VHF transmitter,VHF transmitter,PIP II radiotransmitter,Yes,Yes,0.45,0.45,0.45,Some,NA,<5,5.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_006,"Habitat selection and spatial use by the trawling bat Myotis capaccinii (Bonaparte, 1837)",Research,Acta Chiropterologica,2006,https://doi.org/10.3161/1733-5329(2006)8[157:HSASUB]2.0.CO;2,Spain,Palearctic,Yes,2004,Myotis capaccinii,Myotis,capaccinii,NA,Vespertilionidae,Yes,9,8,10,VHF transmitter,VHF transmitter,PIP II radiotransmitter,Yes,Yes,0.45,0.45,0.45,Some,NA,<5,5.7,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_007,"The influence of a local temperature inversion on the foraging behaviour of big brown bats, eptesicus fuscus",Research,Acta Chiropterologica,2007,https://doi.org/10.3161/1733-5329(2007)9[193:TIOALT]2.0.CO;2,"Saskatchewan, Canada",Nearctic,No,2005-2006,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,20,16,27,VHF transmitter,VHF transmitter,NA,Yes,No,NA,NA,NA,No,≤5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_007,"The influence of a local temperature inversion on the foraging behaviour of big brown bats, eptesicus fuscus",Research,Acta Chiropterologica,2007,https://doi.org/10.3161/1733-5329(2007)9[193:TIOALT]2.0.CO;2,"Saskatchewan, Canada",Nearctic,No,2005-2006,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,NA,16,NA,VHF transmitter,VHF transmitter,NA,Yes,No,NA,NA,NA,No,≤5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_008,"Effectiveness of bats as pollinators of stenocereus stellatus (cactaceae) in wild, managed in situ, and cultivated populations in la mixteca baja, central mexico",Research,American Journal of Botany,2006,https://doi.org/10.3732/ajb.93.11.1675,Mexico,Neotropical,No,2003,Choeronycteris mexicana,Choeronycteris,mexicana,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.72,NA,NA,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_008,"Effectiveness of bats as pollinators of stenocereus stellatus (cactaceae) in wild, managed in situ, and cultivated populations in la mixteca baja, central mexico",Research,American Journal of Botany,2006,https://doi.org/10.3732/ajb.93.11.1675,Mexico,Neotropical,No,2003,Leptonycteris curasoae,Leptonycteris,curasoae,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,0.72,NA,NA,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_009,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Yes,<7.5,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_009,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,Yes,>9,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Yes,<7.5,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_009,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,Yes,>9,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Yes,<7.5,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_009,Conservation of bats in managed forests: Use of roosts by lasionycteris noctivagans,Research,Journal of Mammalogy,1996,https://doi.org/10.2307/1382778,"Washington, USA",Nearctic,Yes,1992-1993,Lasionycteris noctivagans,Lasionycteris,noctivagans,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.75,0.75,0.75,Yes,<7.5,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_010,Heterothermy and the use of torpor by the bat eptesicus fuscus : A field study,Research,Physiological Zoology,1988,http://www.jstor.org/stable/30161232,"Ontario, Canada",Nearctic,No,1985-1986,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,Yes,27,21,33,Temperature sensitive radio transmitters,VHF transmitter,Holohil,Yes,Yes,0.9,0.9,0.9,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_010,Heterothermy and the use of torpor by the bat eptesicus fuscus : A field study,Research,Physiological Zoology,1988,http://www.jstor.org/stable/30161232,"Ontario, Canada",Nearctic,No,1985-1986,Eptesicus fuscus,Eptesicus,fuscus,NA,Vespertilionidae,No,NA,NA,NA,Temperature sensitive radio transmitters,VHF transmitter,Holohil,Yes,Yes,0.9,0.9,0.9,No,<5,NA,NA,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_011,"Foraging behavior of the indian false vampire bat, Megaderma-lyra (chiroptera, megadermatidae)",Research,Biotropica,1991,https://doi.org/10.2307/2388689,"Tirunelveli, India",Indomalayan,No,1988,Megaderma lyra,Megaderma,lyra,NA,Megadermatidae,Yes,50,40,60,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.9,0.9,0.9,No,0.45,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_011,"Foraging behavior of the indian false vampire bat, Megaderma-lyra (chiroptera, megadermatidae)",Research,Biotropica,1991,https://doi.org/10.2307/2388689,"Tirunelveli, India",Indomalayan,No,1988,Megaderma lyra,Megaderma,lyra,NA,Megadermatidae,Yes,50,40,60,VHF transmitter,VHF transmitter,Holohil BD-2,Yes,Yes,0.9,0.9,0.9,No,0.45,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_012,"Spatial and temporal movement patterns of the flying fox, pteropus tonganus, in american samoa",Research,Journal of Wildlife Management,2002,https://doi.org/10.2307/3802948,American Samoa,Australasian,Yes,1992-1994,Pteropus tonganus,Pteropus,tonganus,NA,Pteropodidae,Yes,452,314,590,VHF transmitter,VHF transmitter,Telonics 070 ; Telonics 075,Yes,Yes,NA,21.5,30,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_012,"Spatial and temporal movement patterns of the flying fox, pteropus tonganus, in american samoa",Research,Journal of Wildlife Management,2002,https://doi.org/10.2307/3802948,American Samoa,Australasian,Yes,1992-1994,Pteropus tonganus,Pteropus,tonganus,NA,Pteropodidae,Yes,274,149,398,VHF transmitter,VHF transmitter,Telonics 070 ; Telonics 075,Yes,Yes,NA,21.5,30,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_012,"Spatial and temporal movement patterns of the flying fox, pteropus tonganus, in american samoa",Research,Journal of Wildlife Management,2002,https://doi.org/10.2307/3802948,American Samoa,Australasian,Yes,1992-1994,Pteropus tonganus,Pteropus,tonganus,NA,Pteropodidae,Yes,415,415,415,VHF transmitter,VHF transmitter,Telonics 070 ; Telonics 075,Yes,Yes,NA,21.5,30,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_012,"Spatial and temporal movement patterns of the flying fox, pteropus tonganus, in american samoa",Research,Journal of Wildlife Management,2002,https://doi.org/10.2307/3802948,American Samoa,Australasian,Yes,1992-1994,Pteropus tonganus,Pteropus,tonganus,NA,Pteropodidae,Yes,180,149,210,VHF transmitter,VHF transmitter,Telonics 070 ; Telonics 075,Yes,Yes,NA,21.5,30,Unknown,NA,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_013,"Foraging behaviour of the large-footed Myotis, Myotis moluccarum (chiroptera : Vespertilionidae) in south-eastern queensland",Research,Australian Journal of Zoology,2000,https://doi.org/10.1071/ZO00036,Australia,Australasian,Yes,1997,Myotis moluccarum,Myotis,moluccarum,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.54,0.7,Some,NA,4.9,7.6,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_013,"Foraging behaviour of the large-footed Myotis, Myotis moluccarum (chiroptera : Vespertilionidae) in south-eastern queensland",Research,Australian Journal of Zoology,2000,https://doi.org/10.1071/ZO00036,Australia,Australasian,Yes,1997,Myotis moluccarum,Myotis,moluccarum,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.54,0.7,Some,NA,4.9,7.6,Yes,Yes,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_014,"Roost switching and activity patterns in the soprano pipistrelle, Pipistrellus pygmaeus, during lactation",Research,Annales Zoologici Fennici,2008,http://www.jstor.org/stable/23737024,"Moravia, Czech Republic",Palearctic,Yes,2004,Pipistrellus pygmaeus,Pipistrellus,pygmaeus,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil LB-2N,Yes,Yes,0.38,0.38,0.38,Some,NA,4.8,5.7,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Noctilio albiventris,Noctilio,albiventris,NA,Noctilionidae,Yes,25,24,26,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Noctilio albiventris,Noctilio,albiventris,NA,Noctilionidae,Yes,24,24,24,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Artibeus cinereus,Artibeus,cinereus,NA,Phyllostomidae,Yes,16,16,16,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_015,"Bat mobility and roosts in a fragmented landscape in central amazonia, brazil",Research,Biotropica,2003,https://doi.org/10.1111/j.1744-7429.2003.tb00285.x,"Alter do Chao, Brazil",Neotropical,No,2000 ; 2002,Carollia brevicauda,Carollia,brevicauda,NA,Phyllostomidae,Yes,17,16,18,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,NA,0.62,1.05,No,<5,NA,NA,No,NA,Co-authors,Co-authors
